subject_id	subject_match_field	subject_label	match_type	quality	quality_label	attribute	attribute_label
VT:0003477	rdfs:label	nerve fiber response quality	Lexical	PATO:0000001	quality	UBERON:0006134	nerve fiber
VT:0003799	rdfs:label	macrophage migration quality	Lexical	PATO:0000001	quality	CL:0000235	macrophage
VT:0010765	rdfs:label	head and neck integrity quality	Lexical	PATO:0000001	quality	UBERON:0000974	neck
VT:0010765	rdfs:label	head and neck integrity quality	Lexical	PATO:0000001	quality	UBERON:0000033	head
VT:2000004	rdfs:label	coronary blood flow quality	Lexical	PATO:0000001	quality	UBERON:0000178	blood
VT:0000066	rdfs:label	pancreas/salivary gland physiology quality	Lexical	PATO:0000001	quality	UBERON:0002530	gland
VT:0010557	rdfs:label	brain electrophysiology quality	Lexical	PATO:0000001	quality	UBERON:0000955	brain
VT:0001292	rdfs:label	lens vesicle development quality	Lexical	PATO:0000001	quality	UBERON:0005426	lens vesicle
VT:0001037	rdfs:label	parasympathetic neuron morphology quality	Lexical	PATO:0000051	morphology	CL:0011102	parasympathetic neuron
VT:0002625	rdfs:label	heart left ventricle cell size quality	Lexical	PATO:0000366	left	UBERON:0000948	heart
VT:0002625	rdfs:label	heart left ventricle cell size quality	Lexical	PATO:0000366	left	CL:0000000	cell
VT:0002625	rdfs:label	heart left ventricle cell size quality	Lexical	PATO:0000117	size	UBERON:0000948	heart
VT:0002625	rdfs:label	heart left ventricle cell size quality	Lexical	PATO:0000117	size	CL:0000000	cell
VT:0002650	rdfs:label	ameloblast development quality	Lexical	PATO:0000001	quality	CL:0000059	ameloblast
VT:0001553	rdfs:label	blood free fatty acid amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0001553	rdfs:label	blood free fatty acid amount	Lexical	PATO:0002114	fatty	UBERON:0000178	blood
VT:0010986	rdfs:label	blood l-citrulline amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010377	rdfs:label	milk free calcium amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0002281	rdfs:label	respiratory mucosa goblet cell morphology quality	Lexical	PATO:0010006	cell morphology	UBERON:0000344	mucosa
VT:0002281	rdfs:label	respiratory mucosa goblet cell morphology quality	Lexical	PATO:0010006	cell morphology	CL:0000160	goblet cell
VT:0002281	rdfs:label	respiratory mucosa goblet cell morphology quality	Lexical	PATO:0000051	morphology	UBERON:0000344	mucosa
VT:0002281	rdfs:label	respiratory mucosa goblet cell morphology quality	Lexical	PATO:0000051	morphology	CL:0000160	goblet cell
VT:0010871	rdfs:label	brain epinephrine amount	Lexical	PATO:0000070	amount	UBERON:0000955	brain
VT:0008756	rdfs:label	t cell receptor alpha chain v-j recombination quality	Lexical	PATO:0000001	quality	CL:0000084	T cell
VT:0008756	rdfs:label	t cell receptor alpha chain v-j recombination quality	Lexical	PATO:0000001	quality	GO:0033151	V-J recombination
VT:0010433	rdfs:label	milk fatty acid trans-16-c18:1 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010433	rdfs:label	milk fatty acid trans-16-c18:1 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0010282	rdfs:label	milk alpha-s2-casein amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010826	rdfs:label	tongue length	Lexical	PATO:0000122	length	UBERON:0001723	tongue
VT:0010979	rdfs:label	blood l-valine amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0008198	rdfs:label	follicular dendritic cell antigen presentation quality	Lexical	PATO:0002045	dendritic	CL:0000000	cell
VT:0000483	rdfs:label	sensorineural hearing physiology quality	Lexical	PATO:0000001	quality	GO:0007605	hearing
VT:0006126	rdfs:label	outflow tract development quality	Lexical	PATO:0000001	quality	UBERON:0004145	outflow tract
VT:0002403	rdfs:label	pre-b cell morphology quality	Lexical	PATO:0010006	cell morphology	CL:0000000	cell
VT:0002403	rdfs:label	pre-b cell morphology quality	Lexical	PATO:0000051	morphology	CL:0000000	cell
VT:0005442	rdfs:label	cerebral cortex pyramidal cell morphology quality	Lexical	PATO:0010006	cell morphology	UBERON:0000956	cerebral cortex
VT:0005442	rdfs:label	cerebral cortex pyramidal cell morphology quality	Lexical	PATO:0010006	cell morphology	CL:0000000	cell
VT:0005442	rdfs:label	cerebral cortex pyramidal cell morphology quality	Lexical	PATO:0000051	morphology	UBERON:0000956	cerebral cortex
VT:0005442	rdfs:label	cerebral cortex pyramidal cell morphology quality	Lexical	PATO:0000051	morphology	CL:0000000	cell
VT:0005442	rdfs:label	cerebral cortex pyramidal cell morphology quality	Lexical	PATO:0002336	pyramidal	UBERON:0000956	cerebral cortex
VT:0005442	rdfs:label	cerebral cortex pyramidal cell morphology quality	Lexical	PATO:0002336	pyramidal	CL:0000000	cell
VT:0005442	rdfs:label	cerebral cortex pyramidal cell morphology quality	Lexical	PATO:0070017	pyramidal cell morphology	UBERON:0000956	cerebral cortex
VT:0005442	rdfs:label	cerebral cortex pyramidal cell morphology quality	Lexical	PATO:0070017	pyramidal cell morphology	CL:0000000	cell
VT:0010729	rdfs:label	olfactory discrimination memory quality	Lexical	PATO:0000189	discrimination	GO:0007613	memory
VT:0008112	rdfs:label	monocyte development quality	Lexical	PATO:0000001	quality	CL:0000576	monocyte
VT:0003289	rdfs:label	intestinal peristalsis quality	Lexical	PATO:0000001	quality	GO:0030432	peristalsis
VT:2000020	rdfs:label	heart muscle relaxation quality	Lexical	PATO:0000001	quality	UBERON:0000948	heart
VT:0100025	rdfs:label	mammary gland cistern morphology quality	Lexical	PATO:0000051	morphology	UBERON:0001911	mammary gland
VT:0010549	rdfs:label	cerebrum integrity quality	Lexical	PATO:0000001	quality	UBERON:0001893	cerebrum
VT:0005403	rdfs:label	nerve conduction quality	Lexical	PATO:0000001	quality	UBERON:0001021	nerve
VT:0010598	rdfs:label	thoracic aorta cellular protein amount	Lexical	PATO:0000070	amount	UBERON:0001515	thoracic aorta
VT:0006075	rdfs:label	retinal cone bipolar cell morphology quality	Lexical	PATO:0010006	cell morphology	CL:0000000	cell
VT:0006075	rdfs:label	retinal cone bipolar cell morphology quality	Lexical	PATO:0000051	morphology	CL:0000000	cell
VT:0002723	rdfs:label	immune serum protein activity quality	Lexical	PATO:0000001	quality	UBERON:0001977	serum
